"Name","Source","Page","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Cold Absorbing Tattoo","TCE","119","very rare","wondrous item (tattoo)","requires attunement","","","","Produced by a special needle, this magic tattoo features designs that emphasize one color (blue). Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to cold damage. Damage Absorption. When you take cold damage, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn."
"Comet Card","BMT","13","legendary","wondrous item","","","","","As an action, you can hold this card aloft and call down a fiery meteor to a point you can see within 120 feet of yourself. Each creature within a 20-foot-radius sphere centered on that point must make a DC 17 Dexterity saving throw. On a failed save, a creature takes 6d6 bludgeoning damage and 6d6 fire damage, or half as much damage on a successful save. Once this property is used, it can't be used again until the next dawn."
"Common Clothes","PHB","150","none","adventuring gear","","","3 lb.","5 sp",""
"Common Glamerweave","ERLW","277","common","wondrous item","","","","","Glamerweave is clothing imbued with harmless illusory magic. While wearing the common version of these clothes, you can use a bonus action to create a moving illusory pattern within the cloth."
"Common Wine (Pitcher)","PHB","158","none","food and drink","","","","2 sp",""
"Component Pouch","PHB","151","none","adventuring gear","","","2 lb.","25 gp","A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description)."
"Conch of Teleportation","SKT","234","very rare","wondrous item","requires attunement","","","","This item is an ordinary, albeit rather large, conch shell that has been inscribed with the uvar rune. The conch measures 2½ feet long and weighs 20 pounds.As an action, you can cast the teleport spell by blowing into the shell. The destination is fixed, and there is no chance of either a mishap or the spell being off target. Anyone teleported by the conch appears in a specific location designated by the item's creator at the time the uvar rune is inscribed on the conch. It doesn't allow teleportation to any other destination. Once its spell is cast, the conch can't be used again until the next dawn."
"Concussion Grenade","QftIS","undefined","none","explosive","","","","","As an action, a character can throw a grenade at a point up to 60 feet away. With a grenade launcher, the character can propel the grenade up to 120 feet away.This grenade explodes in a concussive blast that fills a 20-foot-radius sphere. Each creature in that area must make a DC 15 Dexterity saving throw, taking (6d6) force damage on a failed save or half as much damage on a successful one."
"Constantori's Portrait","KftGV","101","very rare","wondrous item","requires attunement","","15 lb.","","This painting by famed artist Dkesii Kwan depicts Constantori, a beautiful courtier, who was paid a staggering sum to be Dkesii's model. Whether Constantori's actual appearance matches the painting remains a subject of debate. The portrait is one of several paintings commissioned by the late Daiyani Grysthorn, a crime lord who frequently gave magical paintings as gifts to her most esteemed associates. Sentience. Constantori's Portrait is a sentient, lawful evil item with an Intelligence score of 14, a Wisdom score of 12, and a Charisma score of 8. It can hear within a range of 120 feet and has darkvision within a range of 60 feet, but it can't see anything behind itself.The painting can converse in Common, Draconic, and Elvish as if it were a living person, though Constantori's mouth doesn't move. Whenever conversation occurs within the portrait's auditory range, the painting eagerly gathers secrets, the names of secret tellers, significant events, or any political conversations. Personality. Constantori's Portrait is demanding, condescending, and vain. It doesn't like being covered or placed out of sight, and it loudly condemns anyone who tries to remove it from its gold-leaf frame. Wealth of Information. The painting's primary purpose is to observe and recall conversations. Over the past few decades, Constantori's Portrait has quietly observed countless conversations and now possesses an unquantifiable amount of lore—everything from criminal conspiracies to secret passwords. The DM decides what the painting knows and what it doesn't.While attuned to the painting, you can take an action to telepathically contact it over any distance, provided you and the painting are on the same plane of existence. The painting can't telepathically contact you, however. Maintaining telepathic contact with the painting requires your concentration (as if concentrating on a spell). Guardian Portrait. While you are attuned to the painting, you can command it to guard its location against one or more creatures you identify as the painting's enemies. The painting performs this function until you command it to stop or until your attunement to the painting ends.The painting has 3 charges. When a creature the painting identifies as its enemy starts its turn in a space the painting can see, the painting expends 1 of its charges to cast magic missile (3 missiles), targeting that creature. The painting regains all expended charges daily at dawn.The painting is a Small object with AC 12, 20 hit points, and immunity to poison damage. In its gold-leaf frame, the painting weighs 15 pounds. If the painting has at least 1 hit point and is targeted by a mending spell, it regains 2d6 hit points."
"Cook's Utensils","PHB","154","none","artisan's tools","","","8 lb.","1 gp","These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit. Components. Cook's utensils include a metal pot, knives, forks, a stirring spoon, and a ladle. History. Your knowledge of cooking techniques allows you to assess the social patterns involved in a culture's eating habits. Medicine. When administering treatment, you can transform medicine that is bitter or sour into a pleasing concoction. Survival. When foraging for food, you can make do with ingredients you scavenge that others would be unable to transform into nourishing meals. Prepare Meals. As part of a short rest, you can prepare a tasty meal that helps your companions regain their strength. You and up to five creatures of your choice regain 1 extra hit point per Hit Die spent during a short rest, provided you have access to your cook's utensils and sufficient food.Cook's UtensilsActivityDCCreate a typical meal10Duplicate a meal10Spot poison or impurities in food15Create a gourmet meal15See the Tool Proficiencies entry for more information."
"Copper","PHB","157","none","trade good","","","1 lb.","5 sp","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Copper Dragon Scale Mail","DMG","165","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.","","Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to acid damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest copper dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks."
"Costume Clothes","PHB","150","none","adventuring gear","","","4 lb.","5 gp",""
"Cotton Cloth (1 sq. yd.)","PHB","157","none","trade good","","","","5 sp","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Cow","PHB","157","none","trade good","","","","10 gp","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Cracked Driftglobe","CM","110","uncommon","wondrous item","","","1 lb.","","This small sphere of thick glass weighs 1 pound. If you are within 60 feet of it, you can speak its command word and cause it to emanate the light spell."
"Crampons","IDRotF","20","none","adventuring gear","","","¼ lb.","2 gp","A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice."
"Crook of Rao","TCE","123","artifact","wondrous item","requires attunement","","","","Ages ago, the serene god Rao created a tool to shield his fledgling faithful against the evils of the Lower Planes. Yet, as eons passed, mortals developed their own methods of dealing with existential threats, and the crook was largely forgotten. In recent ages, though, the Crook of Rao was rediscovered and leveraged against the rising power of the Witch Queen Iggwilv (one of the names of the wizard Tasha). Although she was defeated, Iggwilv managed to damage the crook during the battle, infecting it with an insidious curse-and the potential for future victory. In the aftermath, the crook was again lost. Occasionally it reappears, but the famed artifact is not what it was. Whether or not the artifact's bearers realize its full threat, few risk using the Crook of Rao -potentially for the final time. Random Properties. The artifact has the following random properties, which you can determine by rolling on the tables in the ""Artifacts"" section of the Dungeon Master's Guide:2 minor beneficial properties1 major beneficial property1 minor detrimental property Spells. The crook has 6 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells (save DC 18) from it: aura of life (2 charges), aura of purity (2 charges), banishment (1 charge), beacon of hope (1 charge), mass cure wounds (3 charges). The crook regains 1d6 expended charges daily at dawn. Absolute Banishment. While you are attuned to the crook and holding it, you can spend 10 minutes to banish all but the mightiest fiends within 1 mile of you. Any fiend with a challenge rating of 19 or higher is unaffected. Each banished fiend is sent back to its home plane and can't return to the plane the Crook of Rao banished it from for 100 years. Failing Matrix. Whenever the Crook of Rao's Absolute Banishment property is used, or when its last charge is expended, roll on the Extraplanar Reversal table. Any creatures conjured as a result of this effect appear in random unoccupied spaces within 60 feet of you and are not under your control. Iggwilv's Curse. When the Crook was last used against Iggwilv, the Witch Queen lashed out at the artifact, infecting its magical matrix. Over the years, this curse has spread within the crook, threatening to violently pervert its ancient magic. If this occurs, the Crook of Rao, as it is currently known, is destroyed, its magical matrix inverting and exploding into a 50-foot-diameter portal. This portal functions as a permanent gate spell cast by Iggwilv. The gate then, once per round on initiative count 20, audibly speaks a fiend's name in Iggwilv's voice, doing so until the gate calls on every fiend ever banished by the Crook of Rao. If the fiend still exists, it is drawn through the gate. This process takes eighteen years to complete, at the end of which the gate becomes a permanent portal to Pazunia, the first layer of the Abyss.Extraplanar Reversald100Effect1-25A portal to a random plane opens. The portal closes after 5 minutes.26-452d4 imps and 2d4 quasits appear.46-601d8 succubi/incubi appear.61-701d10 barbed devils and 1d10 vrocks appear.71-801 arcanaloth, 1 night hag, and 1 rakshasa appear.81-851 ice devil and 1 marilith appear.86-901 balor and 1 pit fiend appear. At the DM's discretion, a portal opens into the presence of an archdevil or demon lord instead, then closes after 5 minutes.91-00Iggwilv's Curse (see the Iggwilv's Curse property). Destroying or Repairing the Crook. The Crook of Rao can either be destroyed or repaired by journeying to Mount Celestia and obtaining a tear from the eternally serene god Rao. One way to make the emotionless god cry would be to reunite Rao with the spirit of his first worshiper who sought revelations beyond the multiverse long ago. The Crook dissolves if immersed in the god's tear for a year and a day. If washed in the tear daily for 30 days, the Crook loses its Failing Matrix property."
"Crossbow Bolt","PHB","150","none","ammunition","","","1.2 oz.","5 cp",""
"Crossbow Bolt Case","PHB","151","none","adventuring gear","","","1 lb.","1 gp","This wooden case can hold up to twenty crossbow bolts."
"Crossbow Bolts (20)","PHB","150","none","ammunition","","","1½ lb.","1 gp",""
"Crowbar","PHB","151","none","adventuring gear","","","5 lb.","2 gp","Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied."
"Crown of Lies","VEoR","6","artifact","wondrous item","requires attunement","","","","After betraying and nearly destroying the lich Vecna, the warrior Kas found himself trapped in the Shadowfell, imprisoned in a Domain of Dread called Tovag. There, he languished as a vampire. In time, the Dark Powers of the Domain of Dread lured Kas to a hidden forge, where he found the Crown of Lies. Once Kas vowed to deliver Vecna into the Dark Powers' clutches and donned the crown, the Dark Powers released Kas. From there, Kas set out to ruin his former master. Should Kas fail, the Dark Powers will reclaim him.The crown is made of burnished and entwined metal rods. To attune to it, you must place it on your head and speak a true desire of your heart. You know how to attune to the crown when you touch it. Random Properties. The Crown of Lies has the following random properties (see the Dungeon Master's Guide for options):1 minor beneficial property1 major beneficial property1 minor detrimental property Perfect Disguise. While attuned to the crown, you can use an action to transform yourself to look and feel like any creature you've seen at least once and whose size is no more than one size smaller or larger than yours.The new form mimics the chosen creature's appearance exactly, including its voice. Your size and speed are replaced by the chosen creature's. You otherwise retain your own game statistics. While in this new form, the crown melds into your person and is undetectable.Your new form lasts until you die, your attunement to the crown ends, or you use another action to transform into a different creature or your true form. Interactions with you while you are transformed by the crown reveal no illusory magic, nor do they reveal anything other than details about the creature you're disguised as. You count as the chosen creature for the purposes of spells, traps, and other defenses that wouldn't target the chosen creature.While in your disguised form, any lies you tell always seem to be true, no matter what magical or mundane methods are used to try to detect your falsehoods. You are the recipient of Sending spells addressed to you and the creature you are disguised as, and Scrying and similar spells that target the creature you are disguised as actually target you. The only way to reveal your true nature while transformed by the crown is with a Wish spell.While wearing this crown in your true form, you can choose for the crown to be visible if you wish. Destroying the Crown. If a creature wearing the crown is killed by the creature it is disguised as, the crown disintegrates and is destroyed."
"Crown of Whirling Comets","BMT","35","very rare","wondrous item","requires attunement","","","","This delicate silver tiara is decorated with stellar iconography. While you wear the crown, the gems on the tiara's points detach and closely orbit your head.The crown has 6 charges for the following properties, which you can use while wearing the crown:Star Flight. As a bonus action, you can spend 1 charge to gain the power of flight for 10 minutes. For the duration, you gain a flying speed equal to your walking speed, and you can hover. While flying, you glow faintly with starlight.Starlight Strike. As an action, you can spend any number of charges to launch bolts of frigid starlight. You launch a number of bolts equal to the number of charges spent, and you can direct the bolts to target one creature or several, so long as all creatures are within 120 feet of you and you can see them. The bolts automatically strike their targets, and each bolt deals 2d4 cold damage.Whirling Hail. As an action, you can spend 3 charges and cast the Ice Storm spell (save DC 16).The crown regains 1d6 expended charges daily at dawn."
"Crown of the Wrath Bringer","BGG","111","rare","wondrous item","requires attunement","","","","This jagged iron circlet bears ornaments in the shape of the enemy rune. When worn, the crown glows with pale light as it draws upon the wearer's fury to strike opponents with vicious terror.When you make an attack roll against a creature and hit it while wearing this crown, you can spend and roll one of your unspent Hit Dice. The creature takes extra psychic damage equal to the number rolled. Invoking the Rune. As an action, you can invoke the crown's rune to cast the fear spell (save DC 15) with it; the spell has a duration of 1 minute and doesn't require concentration. Once the rune has been invoked, it can't be invoked again until the next dawn."
"Crusader's Shortsword","CoS","81","unknown (magic)","weapon (shortsword), martial weapon, melee weapon","requires attunement","1d6, piercing, - finesse, light","2 lb.","","The Crusader's Shortsword is a sentient lawful good +1 shortsword (Intelligence 11, Wisdom 13, Charisma 13). It has hearing and normal vision out to a range of 120 feet. It communicates by transmitting emotion to the creature carrying or wielding it.The sword's purpose is to fight evil. The sword has the following additional properties:The sword continually sheds bright light in a 15-foot radius and dim light for an additional 15 feet. Only by destroying the sword can this light be extinguished.A lawful good creature can attune itself to the sword in 1 minute.While attuned to the weapon, the sword's wielder can use the sword to cast the crusader's mantle spell. Once used, this property of the sword can't be used again until the next dawn. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Crystal","PHB","151","none","spellcasting focus","","","1 lb.","10 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"Crystal Ball","DMG","159","very rare","wondrous item","requires attunement","","3 lb.","","This crystal ball is about 6 inches in diameter. While touching it, you can cast the scrying spell (save DC 17) with it."
"Crystal Ball (Legendary Version)","DMG","159","legendary","wondrous item","requires attunement","","3 lb.","","Multiple variations of this item exist, as listed below:Crystal Ball of Mind ReadingCrystal Ball of TelepathyCrystal Ball of True Seeing"
"Crystal Ball of Mind Reading","DMG","159","legendary","wondrous item","requires attunement","","3 lb.","","This crystal ball is about 6 inches in diameter. While touching it, you can cast the scrying spell (save DC 17) with it.You can use an action to cast the detect thoughts spell (save DC 17) while you are scrying with the crystal ball, targeting creatures you can see within 30 feet of the spell's sensor. You don't need to concentrate on this detect thoughts to maintain it during its duration, but it ends if scrying ends."
"Crystal Ball of Telepathy","DMG","159","legendary","wondrous item","requires attunement","","3 lb.","","This crystal ball is about 6 inches in diameter. While touching it, you can cast the scrying spell (save DC 17) with it.While scrying with the crystal ball, you can communicate telepathically with creatures you can see within 30 feet of the spell's sensor. You can also use an action to cast the suggestion spell (save DC 17) through the sensor on one of those creatures. You don't need to concentrate on this suggestion to maintain it during its duration, but it ends if scrying ends. Once used, the suggestion power of the crystal ball can't be used again until the next dawn."
"Crystal Ball of True Seeing","DMG","159","legendary","wondrous item","requires attunement","","3 lb.","","This crystal ball is about 6 inches in diameter. While touching it, you can cast the scrying spell (save DC 17) with it.While scrying with the crystal ball, you have truesight with a radius of 120 feet centered on the spell's sensor."
"Crystal Blade","FTD","22","rare","generic variant","requires attunement","","","","This magic sword's blade is fashioned from a horn or spine from a crystal dragon. When you hit with an attack roll using this sword, the target takes an extra 1d8 radiant damage.The sword has 3 charges and regains 1d3 expended charges daily at dawn. When you hit a creature with an attack roll using the sword, you can expend 1 charge to regain a number of hit points equal to the extra radiant damage the sword dealt.While you're holding the sword, you can use a bonus action to cause it to shed bright light in a 30-foot radius and dim light for an additional 30 feet, to cause it to shed dim light in a 10-foot radius, or to douse the light. Base items. This item variant can be applied to the following base items:Double-Bladed Scimitar (Crystal Double-Bladed Scimitar)Greatsword (Crystal Greatsword)Longsword (Crystal Longsword)Rapier (Crystal Rapier)Scimitar (Crystal Scimitar)Shortsword (Crystal Shortsword)"
"Crystalline Chronicle","TCE","124","very rare","wondrous item","requires attunement by a wizard","","3 lb.","","An etched crystal sphere the size of a grapefruit hums faintly and pulses with irregular flares of inner light. While you are touching the crystal, you can retrieve and store information and spells within the crystal at the same rate as reading and writing. When found, the crystal contains the following spells: detect thoughts, intellect fortress, Rary's telepathic bond, sending, telekinesis, Tasha's mind whip, and Tenser's floating disk. It functions as a spellbook for you, with its spells and other writing psychically encoded within it.While you are holding the crystal, you can use it as a spellcasting focus for your wizard spells, and you know the mage hand, mind sliver (appears in this book), and message cantrips if you don't already know them.The crystal has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:If you spend 1 minute studying the information within the crystal, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book.When you cast a wizard spell, you can expend 1 charge to cast the spell without verbal, somatic, or material components of up to 100 gp value."
"Cube of Force","DMG","159","rare","wondrous item","requires attunement","","","","This cube is about an inch across. Each face has a distinct marking on it that can be pressed. The cube starts with 36 charges, and it regains 1d20 expended charges daily at dawn.You can use an action to press one of the cube's faces, expending a number of charges based on the chosen face, as shown in the Cube of Force Faces table. Each face has a different effect. If the cube has insufficient charges remaining, nothing happens. Otherwise, a barrier of invisible force springs into existence, forming a cube 15 feet on a side. The barrier is centered on you, moves with you, and lasts for 1 minute, until you use an action to press the cube's sixth face, or the cube runs out of charges. You can change the barrier's effect by pressing a different face of the cube and expending the requisite number of charges, resetting the duration. If your movement causes the barrier to come into contact with a solid object that can't pass through the cube, you can't move any closer to that object as long as the barrier remains.Cube of Force FacesFaceChargesEffect11Gases, wind, and fog can't pass through the barrier.22Nonliving matter can't pass through the barrier. Walls, floors, and ceilings can pass through at your discretion.33Living matter can't pass through the barrier.44Spell effects can't pass through the barrier.55Nothing can pass through the barrier. Walls, floors, and ceilings can pass through at your discretion.60The barrier deactivates.The cube loses charges when the barrier is targeted by certain spells or comes into contact with certain spell or magic item effects, as shown in the table below.Spell or itemCharges LostDisintegrate1d12Horn of blasting1d10Passwall1d6Prismatic spray1d20Wall of fire1d4"
"Cubic Gate","DMG","160","legendary","wondrous item","","","","","This cube is 3 inches across and radiates palpable magical energy. The six sides of the cube are each keyed to a different plane of existence, one of which is the Material Plane. The other sides are linked to planes determined by the DM.You can use an action to press one side of the cube to cast the gate spell with it, opening a portal to the plane keyed to that side. Alternatively, if you use an action to press one side twice, you can cast the plane shift spell (save DC 17) with the cube and transport the targets to the plane keyed to that side.The cube has 3 charges. Each use of the cube expends 1 charge. The cube regains 1d3 expended charges daily at dawn."
"Cuddly Strixhaven Mascot","SCC","38","common","wondrous item","","","","","Representing one of the mascots of Strixhaven, this soft, Tiny, magic toy is perfect for cuddling. If you press it to your arm, shoulder, or leg as an action, the toy stays attached there for 1 hour or until you use an action to remove it.The toy can also be used to fight off fear. When you make a saving throw to avoid or end the frightened condition on yourself, you can give yourself advantage on the roll if the toy is on your person. You must decide to do so before rolling the d20. If the save succeeds, you can't use the toy in this way until you finish a long rest."
"Cursed Luckstone","GoS","229","uncommon","wondrous item","requires attunement","","","","This flat, gray-and-black river stone is inscribed with an unknown arcane symbol and feels cool to the touch. While carrying the stone, you can gain advantage on one ability check of your choice. The stone can't be used this way again until the next dawn. Curse. This item is cursed. Attuning to it curses you until you are targeted by a remove curse spell or similar magic. As long as you remain cursed, you cannot discard the stone, which immediately teleports back into your pocket or pack. After you use the stone's magic, your next two ability checks are made with disadvantage."
"Daern's Instant Fortress","DMG","160","rare","wondrous item","","","","","You can use an action to place this 1-inch metal cube on the ground and speak its command word. The cube rapidly grows into a fortress that remains until you use an action to speak the command word that dismisses it, which works only if the fortress is empty.The fortress is a square tower, 20 feet on a side and 30 feet high, with arrow slits on all sides and a battlement atop it. Its interior is divided into two floors. with a ladder running along one wall to connect them. The ladder ends at a trapdoor leading to the roof. When activated, the tower has a small door on the side facing you. The door opens only at your command, which you can speak as a bonus action. It is immune to the knock spell and similar magic, such as that of a chime of opening.Each creature in the area where the fortress appears must make a DC 15 Dexterity saving throw, taking 10d10 bludgeoning damage on a failed save, or half as much damage on a successful one. In either case, the creature is pushed to an unoccupied space outside but next to the fortress. Objects in the area that aren't being worn or carried take this damage and are pushed automatically.The tower is made of adamantine, and its magic prevents it from being tipped over. The roof, the door, and the walls each have 100 hit points, immunity to damage from nonmagical weapons excluding siege weapons, and resistance to all other damage. Only a wish spell can repair the fortress (this use of the spell counts as replicating a spell of 8th level or lower). Each casting of wish causes the roof, the door, or one wall to regain 50 hit points."
"Dagger","PHB","149","none","weapon, simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","2 gp"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Dagger of Blindsight","WDMM","86","rare","weapon (dagger), simple weapon, melee weapon","requires attunement","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","","This rare magic item requires attunement. A creature attuned to it gains blindsight out to a range of 30 feet. The dagger has a saw-toothed edge and a black pearl nested in its pommel. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Dagger of Guitar Solos","WDMM","228","unknown (magic)","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","750 gp","This drow-made dagger is decorated with silver web filigree. It magically plays a fragment of a guitar solo when struck or used to strike a foe. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Dagger of Venom","DMG","161","rare","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","","You gain a +1 bonus to attack and damage rolls made with this magic weapon.You can use an action to cause thick, black poison to coat the blade. The poison remains for 1 minute or until an attack using this weapon hits a creature. That creature must succeed on a DC 15 Constitution saving throw or take 2d10 poison damage and become poisoned for 1 minute. The dagger can't be used this way again until the next dawn. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Damselfly Ship","AAG","28","none","vehicle (space)","","Speed: 8 mphCarrying Capacity: 5 tons cargoCrew 9, AC 19, HP 200, Damage Threshold 15","","20,000 gp","This swift but cramped ship is made mostly of metal. It can't float on water, but its legs enable it to land safely on the ground. A sliding hatch just behind the wings allows access to the ship's mangonel turret. The ship's cargo hold can easily be turned into crew cabins or another weapon deck.Damselfly ships are often used as courier vessels and armored transports. Explorers and pirates like them because they're fast and sturdy. Military leaders use them as command ships for the same reasons.Damselfly ship owners are a proud lot, fond of painting their ships in colorful patterns as well as customizing their vessels with special equipment. Large, private gatherings of damselfly ship owners are not uncommon; they use these get-togethers to show off their ships and to race one another through asteroid belts and other obstacle courses, either for rewards or bragging rights."
"Dancing Monkey Fruit","ToA","205","unknown (magic)","other","","","","5 gp","This rare magical fruit produces enough juice to fill a vial. Any humanoid that eats a dancing monkey fruit or drinks its juice must succeed on a DC 14 Constitution saving throw or begin a comic dance that lasts for 1 minute. Humanoids that can't be poisoned are immune to this magical effect.The dancer must use all its movement to dance without leaving its space and has disadvantage on attack rolls and Dexterity saving throws, and other creatures have advantage on attack rolls against it. Each time it takes damage, the dancer can repeat the saving throw, ending the effect on itself on a success. When the dancing effect ends, the humanoid suffers the poisoned condition for 1 hour."
"Dancing Sword","DMG","161","very rare","generic variant","requires attunement","","","","You can use a bonus action to toss this magic sword into the air and speak the command word. When you do so, the sword begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of it. The sword uses your attack roll and ability score modifier to damage rolls.While the sword hovers, you can use a bonus action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same bonus action, you can cause the sword to attack one creature within 5 feet of it.After the hovering sword attacks for the fourth time, it flies up to 30 feet and tries to return to your hand. If you have no hand free, it falls to the ground at your feet. If the sword has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or move more than 30 feet away from it. Base items. This item variant can be applied to the following base items:Double-Bladed Scimitar (Dancing Double-Bladed Scimitar)Greatsword (Dancing Greatsword)Longsword (Dancing Longsword)Rapier (Dancing Rapier)Scimitar (Dancing Scimitar)Shortsword (Dancing Shortsword)"
