Name,Source,Page,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Sahuagin Baron,MM,264,Large,Humanoid (Sahuagin),lawful evil,16 (breastplate),76 (9d10 + 27),"30 ft., swim 50 ft.",19,15,16,14,13,17,"Dex +5, Con +6, Int +5, Wis +4",Perception +7,,,,,"darkvision 120 ft., passive Perception 17",Sahuagin,5," Blood Frenzy. The sahuagin has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy."," Multiattack. The sahuagin makes three attacks: one with his bite and two with his claws or trident. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (2d4 + 4) piercing damage. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage. Trident. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 11 (2d6 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if used with two hands to make a melee attack.",,,,,,,"Coastal, Underwater"
Sahuagin Blademaster,GoS,249,Medium,Humanoid (Sahuagin),lawful evil,"20 (plate armor, shield)",97 (15d8 + 30),"30 ft., swim 40 ft.",16,12,14,12,11,12,"Str +6, Con +5","Athletics +6, Intimidation +4",,,,,"darkvision 120 ft., passive Perception 10",Sahuagin,6," Blood Frenzy. The blademaster has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The blademaster can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The blademaster can magically command any shark within 120 feet of it, using a limited telepathy."," Multiattack. The blademaster makes three attacks with its wavecutter blade, or one attack with its bite and two with its claws. Wavecutter Blade. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.",,,,,,,
Sahuagin Champion,GoS,249,Medium,Humanoid (Sahuagin),lawful evil,16 (natural armor),71 (13d8 + 13),"30 ft., swim 40 ft.",16,14,12,12,13,9,,Perception +5,,,,,"darkvision 120 ft., passive Perception 15",Sahuagin,3," Blood Frenzy. The champion has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The champion can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The champion can magically command any shark within 120 feet of it, using a limited telepathy."," Multiattack. The champion makes three attacks with its spear, or one attack with its bite and two with its claws. Spear. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d6 + 3) piercing damage, or 7 (1d8 + 3) piercing damage if used with two hands to make a melee attack. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.",,,,,,,
Sahuagin Coral Smasher,GoS,249,Medium,Humanoid (Sahuagin),lawful evil,14 (natural armor),33 (6d8 + 6),"30 ft., swim 40 ft.",16,12,12,12,13,9,,Perception +5,,,,,"darkvision 120 ft., passive Perception 15",Sahuagin,1," Blood Frenzy. The coral smasher has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The coral smasher can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The coral smasher can magically command any shark within 120 feet of it, using a limited telepathy. Siege Monster. The coral smasher deals double damage to objects and structures."," Multiattack. The coral smasher makes two attacks with its warhammer, or one attack with its bite and one with its claws. Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) slashing damage.",,,,,,,
Sahuagin Deep Diver,GoS,250,Medium,Humanoid (Sahuagin),lawful evil,15 (natural armor),91 (14d8 + 28),"30 ft., swim 40 ft.",14,16,15,12,13,9,"Con +4, Wis +3","Perception +5, Stealth +5",,,,,"darkvision 120 ft., passive Perception 15",Sahuagin,4," Blood Frenzy. The deep diver has advantage on melee attack rolls against any creature that doesn't have all its hit points. Brine Lurker. The deep diver has advantage on Dexterity (Stealth) checks made while submerged in water. Limited Amphibiousness. The deep diver can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Lure. The deep diver can cause its lure to light up or darken at will. While the lure is lit, the deep diver sheds bright light in a 30-foot radius centered on itself and dim light for an additional 20 feet. Shark Telepathy. The deep diver can magically command any shark within 120 feet of it, using a limited telepathy."," Multiattack. The deep diver makes two attacks with its glaive, or one attack with its bite and two with its claws. Glaive. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 13 (2d10 + 2) slashing damage. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage. Light of Sekolah. The deep diver pulses magical light from its lure. Any creature within 30 feet of the deep diver that can see the light must succeed on a DC 11 Wisdom saving throw or be charmed until the end of its next turn. A creature charmed in this way is incapacitated as it stares at the light.",,,,,,,
Sahuagin Hatchling Swarm,GoS,250,Large,swarm of Tiny Beasts,chaotic evil,14,52 (8d10 + 8),"0 ft., swim 40 ft.",9,18,12,3,10,3,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 120 ft., passive Perception 10",—,3," Blood Frenzy. The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points. Seething. Once it enters combat, the swarm deals 10 slashing damage to itself at the end of its turn if it did not make an attack on that turn. This damage ignores resistance, and it cannot reduce the swarm to 0 hit points. Swarm. The swarm can occupy another creature's space and vice versa, and it can move through any opening large enough for a Tiny creature. The swarm can't regain hit points or gain temporary hit points. Water Breathing. The swarm can breathe only underwater."," Bites. Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,
Sahuagin High Priestess,GoS,251,Medium,Humanoid (Sahuagin),lawful evil,14 (natural armor),71 (11d8 + 22),"30 ft., swim 40 ft.",14,12,14,12,16,10,Wis +6,"Insight +6, Perception +6",,,,,"darkvision 120 ft., passive Perception 16",Sahuagin,5," Blood Frenzy. The high priestess has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The high priestess can breathe air and water, but she needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The high priestess can magically command any shark within 120 feet of her, using a limited telepathy. Spellcasting. The high priestess is a 7th-level spellcaster. Her spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). She has the following cleric spells prepared:Cantrips (at will): guidance, mending, resistance, thaumaturgy1st level (4 slots): bless, detect magic, guiding bolt2nd level (3 slots): hold person, spiritual weapon (trident)3rd level (3 slots): bestow curse, fear, mass healing word, tongues4th level (1 slot): banishment"," Multiattack. The high priestess makes two attacks with her toothsome staff, or one attack with her bite and one with her claws. Toothsome Staff. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,,,,
Sahuagin Priestess,MM,264,Medium,Humanoid (Sahuagin),lawful evil,12 (natural armor),33 (6d8 + 6),"30 ft., swim 40 ft.",13,11,12,12,14,13,,"Perception +6, Religion +3",,,,,"darkvision 120 ft., passive Perception 16",Sahuagin,2," Blood Frenzy. The sahuagin has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy. Spellcasting. The sahuagin is a 6th-level spellcaster. Her spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). She has the following cleric spells prepared:Cantrips (at will): guidance, thaumaturgy1st level (4 slots): bless, detect magic, guiding bolt2nd level (3 slots): hold person, spiritual weapon (trident)3rd level (3 slots): mass healing word, tongues"," Multiattack. The sahuagin makes two melee attacks: one with her bite and one with her claws. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) slashing damage.",,,,,,,"Coastal, Underwater"
Sahuagin Wave Shaper,GoS,251,Medium,Humanoid (Sahuagin),lawful evil,14 (natural armor),60 (11d8 + 11),"30 ft., swim 40 ft.",10,12,12,16,14,12,Int +6,"Arcana +6, Intimidation +4, Perception +5",,,,,"darkvision 120 ft., passive Perception 15",Sahuagin,5," Blood Frenzy. The wave shaper has advantage on melee attack rolls against any creature that doesn't have all its hit points. Innate Spellcasting. The wave shaper's spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). It can cast the following spells, requiring only verbal components:At will: message1/day: comprehend languages Limited Amphibiousness. The wave shaper can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The wave shaper can magically command any shark within 120 feet of it, using a limited telepathy."," Multiattack. The wave shaper makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 10 (2d8 + 1) piercing damage plus 13 (3d8) cold damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 10 (2d8 + 1) slashing damage plus 13 (3d8) cold damage. Whirlpool (1/Day). The wave shaper targets a body of water at least 50 feet square and 25 feet deep, causing a whirlpool to form in the center of the area. The whirlpool forms a vortex that is 5 feet wide at the base, up to 50 feet wide at the top, 25 feet tall, and lasts for 1 minute or until the wave shaper is incapacitated. Any creature or object in the water and within 25 feet of the vortex is pulled 10 feet toward it. A creature can swim away from the vortex by succeeding on a DC 14 Strength (Athletics) check.When a creature enters the vortex for the first time on a turn or starts its turn there, it must make a DC 14 Strength saving throw. On a failed save, the creature takes 9 (2d8) bludgeoning damage and is caught in the vortex until it ends. On a success, the creature takes half damage and isn't caught in the vortex. A creature caught in the vortex can use its action to try to swim away from the vortex as described above, but it has disadvantage on the Strength (Athletics) check to do so.The first time each turn that an object enters the vortex, the object takes 9 (2d8) bludgeoning damage. This damage occurs each round it remains in the vortex.",,,,,,,
Salamander,MM,266,Large,Elemental,neutral evil,15 (natural armor),90 (12d10 + 24),30 ft.,18,14,15,11,10,12,,,cold,"bludgeoning, piercing, and slashing from nonmagical attacks",fire,,"darkvision 60 ft., passive Perception 10",Ignan,5, Heated Body. A creature that touches the salamander or hits it with a melee attack while within 5 feet of it takes 7 (2d6) fire damage. Heated Weapons. Any metal melee weapon the salamander wields deals an extra 3 (1d6) fire damage on a hit (included in the attack).," Multiattack. The salamander makes two attacks: one with its spear and one with its tail. Spear. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 11 (2d6 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage. Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage plus 7 (2d6) fire damage, and the target is grappled (escape DC 14). Until this grapple ends, the target is restrained, the salamander can automatically hit the target with its tail, and the salamander can't make tail attacks against other targets.",,,,,,,Underdark
Sapphire Dragon Wyrmling,FTD,216,Medium,Dragon (Gem),lawful neutral,16 (natural armor),45 (6d8 + 18),"30 ft., burrow 15 ft., climb 30 ft., fly 60 ft.",17,14,16,14,13,14,"Dex +4, Con +5, Wis +3, Cha +4","History +4, Perception +5, Persuasion +6, Stealth +4",,"lightning, thunder",,frightened,"blindsight 30 ft., darkvision 120 ft., passive Perception 15","Draconic, telepathy 120 ft.",3," Spider Climb. The dragon can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Tunneler. The dragon can burrow through solid rock at half its burrowing speed and can leave a 5-foot-diameter tunnel in its wake."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage plus 3 (1d6) thunder damage. Debilitating Breath (Recharge 5–6). The dragon exhales a pulse of high-pitched, nearly inaudible sound in a 15-foot cone. Each creature in that area must make a DC 13 Constitution saving throw. On a failed save, the creature takes 22 (4d10) thunder damage and is incapacitated until the end of its next turn. On a successful save, the creature takes half as much damage and isn't incapacitated. Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability:1/day each: alarm, Tenser's floating disk",,,,,,,
Sapphire Greatwyrm,FTD,201,Gargantuan,Dragon (Gem),neutral,21 (natural armor),507 (26d20 + 234),"60 ft., burrow 60 ft., fly 120 ft. (hover), swim 60 ft.",28,14,29,30,24,25,"Dex +10, Con +17, Wis +15, Cha +15","Arcana +26, History +18, Perception +15",,,thunder,"charmed, frightened, poisoned, prone","truesight 120 ft., passive Perception 25","Common, Draconic",26," Gem Awakening (Recharges after a Short or Long Rest). If the greatwyrm would be reduced to 0 hit points, its current hit point total instead resets to 400 hit points, it recharges its Breath Weapon, and it regains any expended uses of Legendary Resistance. Additionally, the greatwyrm can now use its Mass Telekinesis action during the next hour. Award a party an additional 90,000 XP (180,000 XP total) for defeating the greatwyrm after its Gem Awakening activates. Legendary Resistance (4/Day). If the greatwyrm fails a saving throw, it can choose to succeed instead. Unusual Nature. The greatwyrm doesn't require food or drink."," Multiattack. The greatwyrm makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage plus 16 (3d10) force damage. Claw. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 18 (2d8 + 9) slashing damage. If the target is a Huge or smaller creature, it is grappled (escape DC 19) and is restrained until this grapple ends. The greatwyrm can have only one creature grappled in this way at a time. Breath Weapon (Recharge 5–6). The greatwyrm exhales crushing force in a 300-foot cone. Each creature in that area must make a DC 25 Dexterity saving throw. On a failed save, the creature takes 71 (11d12) force damage and is knocked prone. On a successful save, it takes half as much damage and isn't knocked prone. On a success or failure, the creature's speed becomes 0 until the end of its next turn. Mass Telekinesis (Gem Awakening Only; Recharges after a Short or Long Rest). The greatwyrm targets any number of creatures and objects it can see within 120 feet of it. No one target can weigh more than 4,000 pounds, and objects can't be targeted if they're being worn or carried. Each targeted creature must succeed on a DC 26 Strength saving throw or be restrained in the greatwyrm's telekinetic grip. At the end of a creature's turn, it can repeat the saving throw, ending the effect on itself on a success.At the end of the greatwyrm's turn, it can move each creature or object it has in its telekinetic grip up to 60 feet in any direction, but not beyond 120 feet of itself. In addition, it can choose any number of creatures restrained in this way and deal 45 (7d12) force damage to each of them. Spellcasting (Psionics). The greatwyrm casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 26, +18 to hit with spell attack):1/day each: dispel magic, forcecage, plane shift, reverse gravity, time stop"," Change Shape. The greatwyrm magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the greatwyrm is reduced to 0 hit points or uses a bonus action to end it. Psychic Step. The greatwyrm magically teleports to an unoccupied space it can see within 60 feet of it.",," Claw. The greatwyrm makes one Claw attack. Psionics (Costs 2 Actions). The greatwyrm uses Psychic Step or Spellcasting. Psychic Beam (Costs 3 Actions). The greatwyrm emits a beam of psychic energy in a 90-foot line that is 10 feet wide. Each creature in that area must make a DC 26 Intelligence saving throw, taking 27 (5d10) psychic damage on a failed save, or half as much damage on a successful one.",,,,
Sapphire Sentinel,CM,201,Large,Construct,unaligned,17 (natural armor),178 (17d10 + 85),30 ft.,22,9,20,3,11,1,,,,,"poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 120 ft., passive Perception 10",understands Common but can't speak,10, Immutable Form. The golem is immune to any spell or effect that would alter its form. Magic Resistance. The golem has advantage on saving throws against spells and other magical effects. Magic Weapons. The golem's weapon attacks are magical.," Multiattack. The golem makes two slam attacks. Slam. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage. Slow (Recharge 5–6). The golem targets one or more creatures it can see within 10 feet of it. Each target must make a DC 17 Wisdom saving throw against this magic. On a failed save, a target can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the target can take either an action or a bonus action on its turn, not both. These effects last for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Sapphire. The sapphire has 3 charges. As an action, the golem can expend 1 charge to cast dispel magic (as a 9th-level spell) from the sapphire using Constitution as its spellcasting ability. The sapphire ceases to glow if all its charges are expended, but it regains 1d3 expended charges daily at dawn and glows again once it has 1 or more charges.",,,,,,,
Satyr,MM,267,Medium,Fey,chaotic neutral,14 (leather armor),31 (7d8),40 ft.,12,16,11,12,10,14,,"Perception +2, Performance +6, Stealth +5",,,,,passive Perception 12,"Common, Elvish, Sylvan",1, Magic Resistance. The satyr has advantage on saving throws against spells and other magical effects.," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) bludgeoning damage. Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",,,,,,,Forest
Satyr Reveler,MOT,242,Medium,Fey,chaotic neutral,13,33 (6d8 + 6),40 ft.,12,16,13,12,10,16,,"Acrobatics +5, Performance +7, Stealth +5",,,,,passive Perception 10,"Common, Sylvan",1," Enthralling Performance. If the satyr performs for at least 1 minute, it chooses up to four humanoids within 60 feet of it who watched or listened to the entire performance. Each target must succeed on a DC 13 Wisdom saving throw or be charmed. While charmed in this way, the target idolizes the satyr and will take part in the satyr's revels. The charmed condition ends for the creature after 1 hour, if it takes any damage, if the satyr attacks the target, or if the target witnesses the satyr attacking or damaging any of the target's allies. Magic Resistance. The satyr has advantage on saving throws against spells and other magical effects. Sleepless Reveler. Magic can't put the satyr to sleep."," Multiattack. The satyr makes two ram attacks or two shortbow attacks. Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) bludgeoning damage. Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",,,,,,,
Satyr Thornbearer,MOT,243,Medium,Fey,chaotic neutral,15 (leather armor),38 (7d8 + 7),40 ft.,12,18,12,11,13,14,,"Perception +5, Performance +6, Stealth +6",,,,,passive Perception 15,"Common, Sylvan",2, Magic Resistance. The satyr has advantage on saving throws against spells and other magical effects. Sleepless Reveler. Magic can't put the satyr to sleep.," Multiattack. The satyr makes three ram attacks or three shortbow attacks. Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) bludgeoning damage. Shortbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 7 (1d6 + 4) piercing damage. Hail of Arrows (Recharges after a Short or Long Rest). The satyr fires an arrow that magically transforms into a flurry of missiles in a 30-foot cone. Each creature in that area must make a DC 14 Dexterity saving throw, taking 17 (5d6) piercing damage on a failed save, or half as much damage on a successful one.",,,,,,,
Scaladar,WDMM,315,Huge,Construct,unaligned,19 (natural armor),94 (7d12 + 49),"30 ft., climb 20 ft.",19,10,25,1,12,1,,,,"fire; bludgeoning, piercing, and slashing from nonmagical attacks","force, lightning, poison","charmed, paralyzed, poisoned","darkvision 60 ft., passive Perception 11",—,8," Lightning Absorption. Whenever the scaladar is subjected to lightning damage, it takes no damage, and its sting deals an extra 11 (2d10) lightning damage until the end of its next turn. Scaladar Link. The scaladar knows the location of other scaladar within 100 feet of it, and it can sense when any of them take damage."," Multiattack. The scaladar makes three attacks: two with its claws and one with its sting. Claw. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage, and the target is grappled (escape DC 15). The scaladar has two claws, each of which can grapple one target. Sting. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage plus 11 (2d10) lightning damage.",,,,,,,
Scarecrow,MM,268,Medium,Construct,chaotic evil,11,36 (8d8),30 ft.,11,13,11,10,10,13,,,fire,"bludgeoning, piercing, and slashing from nonmagical attacks",poison,"charmed, exhaustion, frightened, paralyzed, poisoned, unconscious","darkvision 60 ft., passive Perception 10",understands the languages of its creator but can't speak,1," False Appearance. While the scarecrow remains motionless, it is indistinguishable from an ordinary, inanimate scarecrow."," Multiattack. The scarecrow makes two claw attacks. Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage. If the target is a creature, it must succeed on a DC 11 Wisdom saving throw or be frightened until the end of the scarecrow's next turn. Terrifying Glare. The scarecrow targets one creature it can see within 30 feet of it. If the target can see the scarecrow, the target must succeed on a DC 11 Wisdom saving throw or be magically frightened until the end of the scarecrow's next turn. The frightened target is paralyzed.",,,,,,,Grassland
Scion of Grolantor,BGG,165,Gargantuan,Giant (Titan),chaotic evil,18 (natural armor),402 (23d20 + 161),60 ft.,27,14,25,15,21,18,"Wis +12, Cha +11",Perception +12,,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison,"exhaustion, paralyzed, poisoned",passive Perception 22,"Giant, Primordial",22," Legendary Resistance (6/Day). If the scion fails a saving throw, it can choose to succeed instead. Magic Resistance. The scion has advantage on saving throws against spells and other magical effects. Siege Monster. The scion deals double damage to objects and structures."," Multiattack. The scion makes one Great Tree Club attack and two Slam attacks, or it makes three Boulder attacks. Great Tree Club. Melee Weapon Attack: +15 to hit, reach 30 ft., one target. Hit: 30 (4d10 + 8) bludgeoning damage. If the target is a creature, it must succeed on a DC 23 Strength saving throw or be pushed horizontally up to 100 feet straight away from the scion and have the prone condition. Slam. Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 26 (4d8 + 8) force damage. Boulder. Ranged Weapon Attack: +15 to hit, range 120/480 ft., one target. Hit: 27 (3d12 + 8) bludgeoning damage. Inhale (Recharge 5–6). The scion inhales a vortex of air in a 120-foot line that is 15 feet wide. Each creature in that area that is Huge or smaller must succeed on a DC 23 Strength saving throw or be pulled up to 120 feet straight toward the scion and be swallowed. A swallowed creature has the restrained condition, has total cover against attacks and other effects outside the scion, and takes 24 (7d6) force damage at the start of each of the scion's turns.The scion's stomach can hold up to two creatures at a time. If the scion takes 60 damage or more on a single turn from a creature inside it, the scion must succeed on a DC 17 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, each of which falls in a space within 10 feet of the scion and has the prone condition. If the scion dies, any swallowed creature no longer has the restrained condition and can escape from the corpse using 15 feet of movement, exiting with the prone condition.", Earth-Shaking Movement. The scion moves up to its speed and then sends a shock wave through the ground in a 60-foot-radius circle centered on itself. Each creature on the ground in that area that is concentrating must succeed on a DC 23 Constitution saving throw or lose concentration.," Feed. Immediately after taking damage, if it has at least one creature swallowed, the scion deals 10 (3d6) force damage to each swallowed creature and regains 10 hit points.",,,,"The region surrounding a scion of Grolantor is altered by the giant's magic, creating one or more of the following effects:Abundant Food. Crops and domestic animals grow and reproduce quickly within 6 miles of the scion.Empowered Hill Giants. Hill giants within 1,000 feet of the scion gain a +7 bonus to attack and damage rolls.Farming Weather. The weather within 6 miles of the scion is always ideal for farming: sunny and warm with occasional showers.If the scion dies, these effects end immediately.",
Scion of Memnor,BGG,167,Gargantuan,Giant (Titan),chaotic neutral,20 (natural armor),656 (32d20 + 320),"60 ft., fly 80 ft. (hover)",30,18,30,24,22,26,"Dex +12, Cha +16","Arcana +15, Perception +14",,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",thunder,"charmed, frightened, paralyzed, petrified","truesight 120 ft., passive Perception 24","Giant, Primordial",26," Flyby. The scion doesn't provoke opportunity attacks when it flies out of an enemy's reach. Legendary Resistance (6/Day). If the scion fails a saving throw, it can choose to succeed instead. Magic Resistance. The scion has advantage on saving throws against spells and other magical effects. Siege Monster. The scion deals double damage to objects and structures."," Multiattack. The scion makes one attack using Cloud Morningstar or Wind Javelin, as well as two Slam attacks. Cloud Morningstar. Melee Weapon Attack: +18 to hit, reach 30 ft., one target. Hit: 32 (4d10 + 10) force damage plus 22 (4d10) thunder damage. Wind Javelin. Ranged Weapon Attack: +18 to hit, range 120/480 ft., one target. Hit: 42 (5d12 + 10) thunder damage, and the target must succeed on a DC 26 Strength saving throw or have the prone condition. Slam. Melee Weapon Attack: +18 to hit, reach 20 ft., one target. Hit: 28 (4d8 + 10) force damage. Thunderous Vortex (Recharge 5–6). The scion magically creates a vortex of wind in a 60-foot-radius sphere centered on a point it can see within 120 feet of itself. Each creature in the sphere must succeed on a DC 24 Strength saving throw or be pulled straight toward the sphere's center, ending in an unoccupied space as close as possible to the center. Then a burst of thunder erupts in a 30-foot-radius sphere centered on the same point. Each creature in that area takes 52 (8d12) thunder damage and must succeed on a DC 24 Constitution saving throw or have the stunned condition until the end of its next turn."," Fog of Deception. The scion conjures a magical cloud that fills a 30-foot-radius sphere centered on a point it can see within 90 feet of itself. Each creature in that area must make a DC 24 Wisdom saving throw. On a failed save, a creature has the charmed condition until the end of its next turn. While it has the charmed condition, the creature must use its action to make a melee attack against a creature other than itself of the scion's choice. If no creature is within its reach, the affected creature makes a ranged attack against a creature of the scion's choice, throwing its weapon if necessary. On a successful save, a creature is immune to the scion's Fog of Deception for the next 24 hours.",,,,,"The region surrounding a scion of Memnor is altered by the giant's magic, creating one or more of the following effects:Compulsory Offering. The first time a sapient creature comes within 6 miles of the scion, the creature must succeed on a DC 15 Wisdom saving throw or feel an overwhelming compulsion to leave an offering worth at least 5 gp stashed in an out-of-the-way place. Cloud giants within 6 miles of the cradle or scion immediately sense the location of this gift. A creature can be affected only once by this compulsion.Empowered Cloud Giants. Cloud giants within 1,000 feet of the scion gain a +8 bonus to attack and damage rolls.Mischievous Whispers. Whispers can be heard on the wind within 1 mile of the scion. The words are indistinct, but a creature with an Intelligence score of 5 or higher interprets them as instructions for a prank they can play on others.If the scion dies, these effects end immediately.",
